Date,Close,Volume,Open,High,Low
12/22/2021,48.03,15688030,47.74,48.315,47.62
12/21/2021,47.81,21249440,47.59,48.14,47.34
12/20/2021,46.85,29134900,47.06,47.17,46.25
12/17/2021,47.95,74918980,49.7,49.73,47.87
12/16/2021,50.3,32781050,49.72,50.815,49.3126
12/15/2021,48.94,20284290,49.02,49.27,48.13
12/14/2021,48.89,17602890,48.61,49.49,48.6
12/13/2021,48.56,19598930,49.9,49.96,48.43
12/10/2021,50.2,20040920,50.29,50.6,49.58
12/09/2021,49.69,16927160,49.02,50.03,48.74
12/08/2021,49.41,19990330,50.18,50.31,49.315
12/07/2021,50.25,28370160,49.46,50.515,49.34
12/06/2021,48.81,31650110,48.98,49.9,48.71
12/03/2021,47.75,29221910,49.26,49.26,47.37
12/02/2021,48.91,29184930,47.73,49.4,47.51
12/01/2021,47.21,29374140,48.69,49.45,47.18
11/30/2021,47.78,40671740,48.11,48.51,47.315
11/29/2021,49.16,27677040,49.665,49.77,48.3128
11/26/2021,48.43,29919280,49.1,49.1,47.69
11/24/2021,51.31,18901910,51.51,51.74,51.18
11/23/2021,51.4,28026370,50.71,51.74,50.7
11/22/2021,50.34,28555880,50.63,51.11,49.73
11/19/2021,48.82,30549680,49,49.2374,47.77
11/18/2021,49.9,19199350,49.63,50.18,49.27
11/17/2021,49.84,17802700,50.42,50.69,49.53
11/16/2021,50.37,19244870,51.11,51.18,50.17
11/15/2021,51.08,20110200,51.19,51.695,50.975
11/12/2021,50.96,17124730,50.68,51,50.37
11/11/2021,50.59,16069700,50.42,50.91,50.22
11/10/2021,50.36,19827760,49.74,50.7665,49.68
11/09/2021,49.89,28324750,50.495,50.56,49.21
11/08/2021,50.87,19509510,50.55,51.37,50.55
11/05/2021,50.44,23443240,51,51.605,50.4
11/04/2021,50.62,32005730,51.55,51.7,49.905
11/03/2021,52,24225730,51.04,52.565,51.02
11/02/2021,51.3,21672480,51.54,51.715,51.22
11/01/2021,51.71,18699050,51.56,52,51.27
10/29/2021,51.16,19788550,51.25,51.64,51.02
10/28/2021,51.36,26785490,50.38,51.4,50.35
10/27/2021,50.05,21988270,50.26,50.99,49.95
10/26/2021,50.63,18196320,50.725,51.1,50.36
10/25/2021,50.62,19330320,50.89,51.1202,50.515
10/22/2021,50.66,21517190,50.54,51.115,50.49
10/21/2021,50.33,20448350,49.95,50.6,49.755
10/20/2021,50.16,24227930,50.19,50.39,49.71
10/19/2021,50.34,26500340,49.64,50.35,49.28
10/18/2021,49.43,33842720,48.19,49.71,48.14
10/15/2021,48.38,60096550,45.72,48.74,45.71
10/14/2021,45.31,53257730,46.675,46.89,44.83
10/13/2021,46.05,24150340,46.57,46.57,45.22
10/12/2021,46.65,18995680,47.29,47.53,46.515
10/11/2021,47.28,15387860,48.2,48.46,47.22
10/08/2021,48,14295440,47.87,48.34,47.655
10/07/2021,47.76,19272290,48.26,48.59,47.54
10/06/2021,47.87,17425670,47.58,48.085,47.06
10/05/2021,47.96,20250450,47.5,48.45,47.35
10/04/2021,47.02,22315160,47.02,47.69,46.67
10/01/2021,47.02,18021690,46.55,47.31,46.49
09/30/2021,46.41,22947460,47.14,47.15,46.12
09/29/2021,47.03,21730190,46.45,47.15,45.93
09/28/2021,45.92,49349110,47.01,47.03,45.065
09/27/2021,47.56,48927460,48.38,48.94,46.16
09/24/2021,47.92,20384670,47.78,48.57,47.73
09/23/2021,47.8,21852830,47.46,48.17,47.155
09/22/2021,47.08,29430710,46.49,47.685,46.47
09/21/2021,45.85,23049150,45.975,46.355,45.7301
09/20/2021,45.81,30603110,45.03,45.87,44.84
09/17/2021,46.47,35634050,45.74,46.685,45.74
09/16/2021,46.28,24102390,46.9,47.27,46.005
09/15/2021,46.64,31535650,45.87,46.89,45.85
09/14/2021,46.05,36053220,46.02,46.94,45.755
09/13/2021,45.76,28027250,44.555,45.81,44.555
09/10/2021,44.33,23367390,45,45.25,44.185
09/09/2021,44.36,19776860,43.85,44.715,43.76
09/08/2021,43.82,21252450,44.12,44.54,43.63
09/07/2021,44.31,19740340,44.32,44.96,44.25
09/03/2021,44.17,21715840,44.49,44.5,43.82
09/02/2021,44.57,37650010,43.68,44.875,43.54
09/01/2021,43.45,84960540,45.7,45.97,43.27
08/31/2021,45.7,73514280,48.41,48.99,45.21
08/30/2021,48.41,16054070,49.76,49.81,48.35
08/27/2021,49.81,16873290,49.22,49.85,49.12
08/26/2021,49.05,21627630,49.53,49.87,48.89
08/25/2021,49.29,21357380,48.62,49.62,48.47
08/24/2021,48.36,15109050,47.75,48.37,47.7058
08/23/2021,47.61,15551920,47.75,47.99,47.445
08/20/2021,47.42,15357370,47.13,47.445,46.84
08/19/2021,47.25,20259390,47.35,47.953,46.83
08/18/2021,47.97,16319280,48.36,48.975,47.9
08/17/2021,48.71,16887020,48.88,49.3672,48.025
08/16/2021,49.41,22618930,49.93,49.98,48.94
08/13/2021,50.37,15843270,51.21,51.41,50.175
08/12/2021,51.15,21737920,50.76,51.25,50.56
08/11/2021,50.66,29203920,49.63,50.73,49.17
08/10/2021,49.63,28708130,48.73,49.69,48.685
08/09/2021,48.65,29795180,48.66,49.34,48.29
08/06/2021,48.77,33583900,47.5,48.99,47.45
08/05/2021,46.99,28092590,46.05,47,46.01
08/04/2021,46.15,22177990,46.27,46.97,46.04
08/03/2021,46.83,24050330,45.98,46.935,45.11
08/02/2021,45.79,23960720,46.04,46.81,45.57
07/30/2021,45.94,25794020,46.26,46.8529,45.725
07/29/2021,46.5,24487390,45.89,46.71,45.68
07/28/2021,45.51,23252790,45.38,46.035,44.98
07/27/2021,45.14,22124510,44.59,45.3799,44.27
07/26/2021,45.01,22976700,44.47,45.2381,44.47
07/23/2021,44.59,23946480,45.1,45.51,44.42
07/22/2021,45.03,23309500,45.84,45.945,44.8
07/21/2021,45.8,29654630,45.29,46.145,45.21
07/20/2021,44.84,34556160,43,45.15,42.87
07/19/2021,43.05,43362220,42.71,43.3,42.29
07/16/2021,44.28,27838160,45.41,45.53,44.105
07/15/2021,45,33388140,44.59,45.39,44.37
07/14/2021,44.95,49618020,43.6,45.13,42.51
07/13/2021,43.23,25387820,43.79,44.13,43.01
07/12/2021,44.16,17618920,43.28,44.25,42.955
07/09/2021,43.91,25055930,43.18,44.11,42.85
07/08/2021,42.32,29148740,42.58,42.95,41.97
07/07/2021,43.4,21883950,43.28,43.965,43.12
07/06/2021,43.49,25486860,44.73,44.82,43.3
07/02/2021,45.07,13221610,45.3,45.41,44.84
